name,facility_a,product,Latitude,longitude
"ELEKTRISOLA, INC.","126 HIGH STREET, BOSCAWEN, NH, 03303",COPPER MAGNET WIRE,5.459,-75.044
SUB-TRONICS,"30570 FOREST BOULEVARD, STACY, MN, 55079","ELECTROMAGNETIC TRANSFORMERS, COILS & INDUCTORS FOR THE INDUSTRIAL, MEDICAL & TELECOMMUNICATIONS INDUSTRIES",5.446,-89.507
"WABASH TRANSFORMERS, INC.","101 INDUSTRIAL PARK DRIVE, CLARENCE, IA, 52216","ELECTROMAGNETIC, CUSTOM, POWER & CLASS-2 TRANSFORMERS & DEVICES",1.992,-88.039
"BADGER TRANSFORMER CO., INC.","7939 WEST TOWER AVENUE, MILWAUKEE, WI, 53223","CORPORATE HEADQUARTERS & LAMINATED & TOROIDAL CONTROL, ISOLATION, POWER TRANSFORMERS & INDUCTORS, HIGH-FREQUENCY MAGNETS",3.422,-86.013
"PRECISION ELECTRONICS, INC.","1 DI TOMAS COURT, COPIAGUE, NY, 11726",MILITARY & INDUSTRIAL TRANSFORMERS & MAGNETICS,2.641,-75.597
"KEYTRONICS, INC.","707 NORTH STREET, ENDICOTT, NY, 13760","MAGNETIC AMPLIFIERS, TRANSFORMERS, REACTORS, MAGNETIC DEVICES, CAPACITOR MODULES & ELECTRONIC ASSEMBLIES",3.597,-77.701
"COILS UNLIMITED, INC.","315 GUS HIPP BOULEVARD, ROCKLEDGE, FL, 32955","ELECTROMAGNETIC DEVICES, INCLUDING COIL TRANSFORMERS",-10.524,-78.452
"S S I TECHNOLOGIES, INC.","2643 WEST COURT STREET, JANESVILLE, WI, 53548","ULTRASONIC LIQUID LEVEL, PRESSURE & MAGNETIC SENSORS FOR THE AUTOMOTIVE, CONSTRUCTION, AGRICULTURE, HEAVY TRUCK, MARINE",2.876,-86.691
"HUGHES PRIMEAU CONTROLS, INC.","261 ALPHA PARK, CLEVELAND, OH, 44143","ELECTRICAL & STEAM HEAT TRACING, CONTROL VALVES, ACTUATORS, MAGNETIC COUPLINGS, INDUSTRIAL CONTROLS & INSTRUMENTS",2.367,-81.294
DANAHER MOTION,"45 HAZELWOOD DRIVE, AMHERST, NY, 14228",ELECTROMAGNETIC BRAKES & CLUTCHES,4.131,-79.739
"PERMACOR, INC.","9540 SOUTH TULLEY AVENUE, OAK LAWN, IL, 60453",POWDERED IRON & FERROUS MAGNETIC CORES,1.991,-85.705
"CONTROLLED AUTOMATION, INC.","15421 STONY CREEK WAY, NOBLESVILLE, IN, 46060","CONTROL PANELS, ELECTROMAGNETS & INDUSTRIAL MACHINERY",0.411,-84.303
DOWLING MAGNETS,"21600 8TH STREET EAST, SONOMA, CA, 95476",MAGNETS & MAGNETIC TOYS & GAMES,1.011,-110.137
"ALPHA MAGNETICS, INC.","1876 SABRE STREET, HAYWARD, CA, 94545",ELECTROMAGNETS,0.414,-110.092
QUADRANT TECHNOLOGY L.P.,"1247 REAMWOOD AVENUE, SUNNYVALE, CA, 94089",MAGNETS,0.164,-110.061
"MAGNETIC COMPONENT ENGINEERING, INC.","2830 LOMITA BOULEVARD, TORRANCE, CA, 90505",PERMANENT MAGNETS,-3.764,-108.473
"RAINBOW MAGNETICS, INC.","3221 WEST MACARTHUR BOULEVARD, SANTA ANA, CA, 92704",MAGNETS,-3.946,-108.197
MAGNET SALES & MFG.,"11248 PLAYA COURT, CULVER CITY, CA, 90230",MAGNETS,-3.591,-108.465
SC ENTERPRISES,"12035 SLAUSON AVENUE, SANTA FE SPRINGS, CA, 90670","ADVERTISING & PROMOTIONAL REFRIGERATOR MAGNETS, INCLUDING PRINTING & GRAPHIC DESIGN",-3.68,-108.237
MORRIS MAGNETS,"14804 NE 31ST CIRCLE, REDMOND, WA, 98052",REFRIGERATOR MAGNETS,9.425,-107.767
"TRUCOLOR MFG., INC.","5774 LAMAR STREET, ARVADA, CO, 80002","MAGNETS, LUGGAGE TAGS, BOOKMARKS, COASTERS, RULERS, STRESS CARDS, TINS, COUNTER MATS & MOUSE PADS",0.127,-97.974
"MASTER MAGNETICS, INC.","607 SOUTH GILBERT STREET, CASTLE ROCK, CO, 80104",MAGNETS & MAGNETIC DEVICES,-0.317,-97.862
"MIDWEST INDUSTRIES, INC.","614 WEST CARL HUBBELL BOULEVARD, MEEKER, OK, 74855",MAGNETS,-4.493,-92.197
"MAGNETIC POETRY, INC. (H Q)","615 1ST AVENUE NE, MINNEAPOLIS, MN, 55413",CORPORATE HEADQUARTERS; MAGNETIC VINYL WORD & FOREIGN LANGUAGE KITS (MFG. DONE IN CHINA),5.038,-89.672
"HAMILTON FORM CO., LLC","7009 MIDWAY ROAD, RICHLAND HILLS, TX, 76118","PRECAST & PRESTRESSED CONCRETE STEEL & MAGNETIC FORMS, PLANT PRODUCTION EQUIPMENT, CONCRETE CURING BLANKETS",-7.193,-92.51
"IDEAMAN, INC.","7 CEDAR COURT, UNION, MO, 63084",SOUVENIR MAGNETS & GIFTS,-1.445,-87.82
ARCHER PRODUCTS,"9400 WATSON ROAD, SAINT LOUIS, MO, 63126",CUSTOM PRINTED FLAT ADVERTISING & CALENDAR MAGNETS & MAGNETIC CAR SIGNS,-1.319,-87.351
"MAGNET, LLC","7 CHAMBER DRIVE, WASHINGTON, MO, 63090",DIVISIONAL HEADQUARTERS & FLEXIBLE MAGNETS,-1.373,-87.823
ARNOLD MAGNETIC TECHNOLOGIES,"300 NORTH WEST STREET, MARENGO, IL, 60152","MAGNETIC MATERIALS, COMPONENTS & PRECISION MAGNETIC ASSEMBLIES",2.473,-86.356
ADAMS MAGNETIC PRODUCTS,"888 LARCH AVENUE, ELMHURST, IL, 60126","COMPANY HEADQUARTERS & MAGNETS & MAGNETIC DEVICES, FLEXIBLE STRIPPING & SHEETING, BASES & SOFT LINEAR FERRITES",2.187,-85.86
"MAGNET STREET, INC.","280 GERZEVSKE LANE, CAROL STREAM, IL, 60188",ADVERTISING & PROMOTION REFRIGERATOR MAGNETS,2.159,-85.975
MAGNETSTREET,"285 WEST LOOP ROAD, WHEATON, IL, 60187",MAGNETS,2.08,-85.967
"MAGNETICS INTERNATIONAL, INC.","1111 NORTH STATE ROAD 149, BURNS HARBOR, IN, 46304",POWDERED MAGNETIC MATERIALS,1.908,-85.256
"AD-VANCE MAGNETICS, INC.","625 MONROE STREET, ROCHESTER, IN, 46975",MAGNETIC SHIELDS,1.447,-84.562
"TENGAM ENGINEERING, INC.","545 WASHINGTON STREET, OTSEGO, MI, 49078",MEDICAL MAGNETS,2.869,-84.361
"SUPERIOR ESSEX, INC.","800 WEST MITCHELL STREET, KENDALLVILLE, IN, 46755",MAGNET WIRE,1.896,-83.945
"REA MAGNET WIRE CO., INC.","3600 EAST PONTIAC STREET, FORT WAYNE, IN, 46803",CORPORATE HEADQUARTERS & MAGNET & INDUSTRIAL WIRE PRODUCTS,1.531,-83.771
"PURITAN MAGNETICS, INC.","465 GLASPIE STREET, OXFORD, MI, 48371",PERMANENT & ELECTRO MAGNETS,3.442,-82.721
"CRYOMAGNETICS, INC.","1006 ALVIN WEINBERG DRIVE, OAK RIDGE, TN, 37830",SUPERCONDUCTING MAGNETS & CRYOGENIC INSTRUMENTATION,-3.443,-82.506
"PERMANENT MAGNET CO., INC.","4437 BRAGDON STREET, INDIANAPOLIS, IN, 46226",PERMANENT MAGNETS,0.234,-84.299
"MAGNETIC INSTRUMENTATION, INC.","8431 CASTLEWOOD DRIVE, INDIANAPOLIS, IN, 46250","MAGNETIZERS, DEMAGNETIZERS, FLUX & GAUSS METERS & HYSTERESISGRAPHS",0.304,-84.318
"THOMAS & SKINNER, INC.","525 WESTERN AVENUE, OSGOOD, IN, 47037",INDUSTRIAL MAGNETS,-0.411,-83.69
SEMICON ASSOCS.,"695 LACO DRIVE, LEXINGTON, KY, 40510",DISPENSER CATHODES & RARE EARTH MAGNETS,-1.403,-83.013
HITACHI METALS NORTH CAROLINA LTD.,"1 HITACHI METALS DRIVE, CHINA GROVE, NC, 28023",CERAMIC MAGNETS,-3.404,-79.666
"MANOCHEMONICS HOLDINGS, LLC","1 MAGNOX DRIVE, PULASKI, VA, 24301",MAGNETIC IRON OXIDE PRODUCTS & MANOPARTICLES,-1.986,-80.093
MAGNETS U. S. A.,"817 CONNECTICUT AVENUE NE, ROANOKE, VA, 24012",MAGNETS,-1.64,-79.501
MAGNUM MAGNETICS CORP.,"801 MASONIC PARK ROAD, MARIETTA, OH, 45750",FLEXIBLE MAGNETIC MATERIALS,0.317,-80.996
"MAGNA CARD, INC.","35 NEW PLANT COURT, OWINGS MILLS, MD, 21117",MAGNETS,0.88,-77.653
MILHOUS CO.,"144 SOUTH MAIN STREET, AMHERST, VA, 24521","MAGNETS, COIL WINDING, ELECTRICAL CONTROL SYSTEMS & LEAK TEST MACHINES",-1.225,-78.918
"PENN MAG, INC.","719 TARRTOWN ROAD, ADRIAN, PA, 16210",MAGNETITE COAL CLEANING PRODUCTS,1.907,-79.841
ELECTRON ENERGY CORP.,"924 LINKS AVENUE, LANDISVILLE, PA, 17538",RARE EARTH PERMANENT MAGNETS & MAGNET ASSEMBLIES,1.576,-77.533
PREMIUM SHAPES,"3 ESSEX STREET, BELLEVILLE, NJ, 07109","MAGNETS, PINS & CONNECTORS",2.624,-76.127
AURA BADGE CO.,"264 CLAYTON AVENUE, CLAYTON, NJ, 08312","BADGES, BUTTONS, BUMPER STICKERS, DECALS, MAGNETS & RIBBONS",1.372,-76.538
"INDUSTRIAL MAGNETICS, INC.","1240 M-75 SOUTH, BOYNE CITY, MI, 49712","MAGNETS FOR HOLDING, FIXTURING, SEPARATING, TRANSFERRING, LIFTING & CONVEYING METAL",5.667,-84.181
PRECISION FITTINGS,"709 NORTH MAIN STREET, WELLINGTON, OH, 44090","PIPE PLUGS, MAGNETIC & DRAIN PLUGS, FITTINGS, FASTENERS & SCREW MACHINE & COLD-FORMED PARTS",1.921,-81.772
LAMINATION SPECIALTIES CORP.,"235 NORTH ARTESIAN AVENUE, CHICAGO, IL, 60612","MAGNETIC SHEET STEEL & SLIT COIL, TRANSFORMER & MOTOR LAMINATIONS",2.162,-85.677
"TEMPEL STEEL CO., LIBERTYVILLE DIV.","2200 TEMPEL DRIVE, LIBERTYVILLE, IL, 60048",MAGNETICALLY LAMINATED STEEL PRODUCTS,2.567,-85.937
LISLE CORP.,"807 EAST MAIN STREET, CLARINDA, IA, 51632","AUTOMOTIVE TOOLS, MAGNETIC PLUGS & DRILL GRINDERS",0.743,-90.798
AMPCO SAFETY TOOLS LTD.,"204 NORTH BARNES DRIVE, GARLAND, TX, 75042","NON-SPARKING, NON-MAGNETIC & CORROSION-RESISTANT HAND TOOLS",-7.083,-92.067
SE TOOLS,"415 HOWARD STREET, LAPEER, MI, 48446","NON-POWERED HAND TOOLS, INCLUDING MAGNETIC PICK UP TOOLS, MIRRORS, MECHANICAL FINGERS, SCRIBERS, SPOT WELD CUTTERS",3.666,-82.789
"MAGNI-POWER CO., MAGNETICS DIV.","5511 EAST LINCOLN WAY, WOOSTER, OH, 44691","MAGNETIC HANDTOOLS, SWEEPERS, GRIDS, DRUMS, PULLEYS & SEPARATORS",1.581,-81.47
"ENGINEERED PRODUCTS COMPANY, THE","601 KELSO STREET, FLINT, MI, 48506",COMPANY HEADQUARTERS & MAGNETIC CATCHES & DRAWER PULLS,3.606,-83.017
"YOUNG & FRANKLIN, INC.","942 OLD LIVERPOOL ROAD, LIVERPOOL, NY, 13088",HYDRAULIC & ELECTROMAGNETIC VALVES,4.544,-78
RIVERSIDE ENGINEERING,"121 INTERPARK BOULEVARD, SAN ANTONIO, TX, 78216","CAR SHREDDERS, MAGNETIC SEPARATORS, STEEL & MANGANESE CASTINGS",-10.377,-93.669
"BARNES INTERNATIONAL, INC.","814 CHESTNUT STREET, ROCKFORD, IL, 61102","INDUSTRIAL COOLANT FILTRATION EQUIPMENT, INCLUDING COOLANT, MAGNETIC COOLANT & VACUUM FILTERS & CHIP CONVEYORS",2.466,-86.694
MID-STATES CORPORATION,"3245 HOLEMAN AVENUE, SOUTH CHICAGO HEIGHTS, IL, 60411","TABLE TOP CHAIN, CABLE, MAGNETIC, AIR & VACUUM CONVEYING SYSTEMS & COMPONENTS",1.76,-85.597
"STAR ENGINEERING & MACHINE CO., INC.","1717 LANCASTER STREET, BLUFFTON, IN, 46714",MAGNET WIRE SHEAVES & CNC MACHINING JOB SHOP,1.205,-83.808
"HEAT TREATING, INC.","1807 WEST PLEASANT STREET, SPRINGFIELD, OH, 45506","METAL HEAT TREATING, INCLUDING BLAST CLEANING & MAGNETIC PARTICLE INSPECTION",0.509,-82.742
"ESSEX GROUP, INC.","120 SOUTHEAST PARKWAY, FRANKLIN, TN, 37064",MAGNET WIRE,-3.767,-84.505
RIMTEC CORP.,"211 SOUTH LOMBARD ROAD, ADDISON, IL, 60101",MAGNETIC CLUTCHES,2.178,-85.915
"PRESSURE PRODUCTS INDUSTRIES, INC.","900 LOUIS DRIVE, WARMINSTER, PA, 18974","HIGH PRESSURE VALVES, FITTINGS, PRESSURE VESSELS, AGITATED REACTORS, MAGNETIC MIXERS, LIQUID & GAS PUMPS & DIAPHRAGM GAS",1.91,-76.636
BURGESS-NORTON MFG. CO.,"737 PEYTON STREET, GENEVA, IL, 60134","PISTON FINS, POWDERED METAL PARTS & SOFT MAGNETIC COMPOSITES",2.129,-86.114
DYMET CORP.,"1901 PECK STREET, MUSKEGON, MI, 49441","BRASS, BRONZE, IRON, STEEL & STAINLESS STEEL SINTERED METAL BUSHINGS, GEARS, STRUCTURAL & SOFT MAGNETIC PARTS & FILTERS",3.592,-84.81
TDK RF SOLUTIONS,"1101 CYPRESS CREEK ROAD, CEDAR PARK, TX, 78613",ELECTROMAGNETIC COMPATIBILITY AUTOMATION SYSTEMS,-9.475,-93.075
"CHIP SYSTEMS INTERNATIONAL, INC.","10953 NORSCOTT STREET, SCOTTS, MI, 49088","METAL CHIP PROCESSING & RECYCLING MACHINERY, INCLUDING MAGNETIC SEPARATORS, CONVEYORS, SHREDDERS WRINGERS & BRIQUETTERS",2.635,-84.127
"DOUGLAS MFG. CO., INC.","300 INDUSTRIAL PARK DRIVE, PELL CITY, AL, 35125","CONVEYOR COMPONENTS & ENGINEERED SOLUTIONS, INCLUDING PULLEYS, IDLERS, MAGNETIC SEPARATORS & MATERIAL CONTROL PRODUCTS",-6,-83.788
"BUCCICONI ENGINEERING CO., INC.","899 GRANT STREET, GARY, IN, 46404",MAGNETIC CONVEYORS & GENERAL MACHINING JOB SHOP,1.892,-85.418
"MAGNETIC PRODUCTS, INC.","683 TOWN CENTER DRIVE, HIGHLAND, MI, 48356",MAGNETIC CONVEYOR SYSTEMS & SEPARATORS,3.236,-82.942
"MAGNETOOL, INC.","505 ELMWOOD DRIVE, TROY, MI, 48083",MAGNETIC MATERIAL HANDLING EQUIPMENT,3.178,-82.603
ERIEZ MAGNETICS,"2200 ASBURY ROAD, ERIE, PA, 16506","FEEDERS, SCREENING DEVICES, CONVEYORS, VIBRATORS, METAL DETECTORS & MAGNETIC EQUIPMENT",3.03,-80.506
"MAGNETIC TOOL ORGANIZERS, INC.","1540 SELENE DRIVE, CARROLLTON, TX, 75006",MAGNETIC HAND TOOL ORGANIZERS,-7.051,-92.266
"JANCY ENGINEERING, INC.","2735 HICKORY GROVE ROAD, DAVENPORT, IA, 52804","PORTABLE MAGNETIC DRILLING MACHINES & CUTTING TOOLS, PIPE & TUBE NOTCHERS, PIPE & TUBE BENDERS, GRINDING MACHINES",1.668,-87.702
"AMERICAN CYLINDER CO., INC.","481 SOUTH GOVERNORS HIGHWAY, PEOTONE, IL, 60468","AIR CYLINDERS & ACCESSORIES, INCLUDING SMALL BORE PNEUMATIC ACTUATORS, SPACE SAVING, MAGNETIC FIELD, CORROSION RESISTANT",1.596,-85.697
FLEXBAR MACHINE CORP.,"250 GIBBS ROAD, ISLANDIA, NY, 11749",MACHINE TOOL & GAGING DEVICES & MAGNETIC SAFETY SHIELDS,2.791,-75.472
"AUTOTRONICS, INC.","2700 DAVIS BOULEVARD, JOPLIN, MO, 64804","ELECTROMAGNETIC BRAKES, CLUTCHES, SOLENOIDS, TORQUE INDICATORS, FORCE GAGES & MINIATURE BEARING PULLERS",-2.939,-90.343
LINNIG CORP.,"5131 SOUTH ROYAL ATLANTA DRIVE, TUCKER, GA, 30084",AC CLUTCHES & ELECTROMAGNETIC FANS,-5.54,-82.18
"SEPAC, INC.","2000 LAKE ROAD, ELMIRA, NY, 14903",ELECTROMAGNETIC BRAKES & CLUTCHES,3.511,-78.216
"STOLAR HORIZON, INC.","848 CLAYTON ROAD, RATON, NM, 87740","ELECTROMAGNETIC WAVE DETECTION & IMAGING TRANSCEIVERS FOR MILITARY, MINING, SECURITY, ENERGY & UTILITIES APPLICATIONS",-2.781,-97.799
DYNETICS ENGINEERING CORP.,"515 BOND STREET, LINCOLNSHIRE, IL, 60069","PHOTO-OPTICAL CARD COUNTERS, CREDIT CARD ISSUING & VERIFICATION EQUIPMENT, MAGNETIC STRIP ANALYZERS, CARD MAILING SYSTEM",2.448,-85.885
"PERMADUR INDUSTRIES, INC.","186 US HIGHWAY 206 SOUTH, HILLSBOROUGH, NJ, 08844","HOISTS, CRANES, TABLE & VEHICLE LIFTS, HOT STAMPING MACHINES & LIFTING MAGNETS",2.294,-76.393
"SECURITY ENGINEERED MACHINERY CO., INC.","5 WALKUP DRIVE, WESTBOROUGH, MA, 01581","DOCUMENT DESTRUCTION DISINTEGRATORS, SECURITY WASTE CONTAINERS, MAGNETIC MEDIA DEGAUSSER/ERASERS & CD DECLASSIFIERS",4.465,-74.742
"T.D. WRIGHT CO., INC.","292 WALNUT STREET, SAINT PAUL, MN, 55102","MAGNETIC PRINTING CYLINDERS, PRECISION ROLLS & MACHINING",4.993,-89.571
"PDC MACHINES, INC.","1875 STOUT DRIVE, WARMINSTER, PA, 18974","BENCH SCALE REACTION SYSTEMS, PILOT PLANTS, METAL & GLASS STIRRED REACTORS, MAGNETIC DRIVES & MIXERS, SYRINGE PUMPS",1.931,-76.636
"TRANSPOWER TECHNOLOGIES, INC.","980 SANDHILL ROAD, RENO, NV, 89521",MAGNETIC COMPONENTS,1.586,-108.087
APPLE DIE SOUTH,"6545 44TH STREET NORTH, PINELLAS PARK, FL, 33781",FLATBED STEEL RULE & MAGNETIC FLEXIBLE DIES,-11.293,-80.042
"WAVEZERO, INC.","425 LAKESIDE DRIVE, SUNNYVALE, CA, 94085",ELECTROMAGNETIC SHIELDING,0.144,-110.071
PINNACLE DESIGNS,"615 8TH STREET, SAN FERNANDO, CA, 91340","KEY CHAINS, TINS & MAGNETS",-3.315,-108.41
"U. S. SHELL, INC.","36451 HIGHWAY 100, LOS FRESNOS, TX, 78566","HANDMADE BEACH COMBING SOUVENIRS, INCLUDING SEA SHELLS, CRAFT SHELLS, MAGNETS, DECORATIVE NETS, SEA SHELL GIFTS",-13.894,-92.909
SABONA OF LONDON UNLIMITED,"609 DAVIS BOULEVARD, SIKESTON, MO, 63801",COPPER & MAGNETIC BRACELETS,-2.961,-86.659
"UNIVERSAL DESIGNS, INC.","855 WEST NEW YORK AVENUE, DELAND, FL, 32720","COSTUME JEWELRY, PAPER PRODUCT, STATIONERY, INSPIRATIONAL CHRISTIAN GIFTS, POSTERS & MAGNETS",-9.915,-79.098
"WBT INDUSTRIES, INC.","831 MONTEREY PASS ROAD, MONTEREY PARK, CA, 91754","BUTTONS, BADGES, MAGNETS, TROPHIES, AWARDS, PROMOTIONAL PRODUCTS, PRINTED PRODUCTS, PENS, SHIRTS & CAPS",-3.582,-108.284
SEAWAY BOLT & SPECIALS CORP.,"11561 STATION ROAD, COLUMBIA STATION, OH, 44028","PIPE, DRAIN, MAGNETIC, VENT & SECURITY PLUGS & SPECIAL LONG-LENGTH FASTENERS",2.102,-81.603
"MONOGRAM INTERNATIONAL, INC. (H Q)","3845 GATEWAY CENTRE BOULEVARD, PINELLAS PARK, FL, 33782","CORPORATE HEADQUARTERS; COLLECTIBLE PLASTIC TOYS, DRINKWARE, DINNERWARE, FIGURINES, SOUVENIRS, KEY RINGS, BANKS, MAGNETS",-11.271,-80.041
ISOMAG CORP.,"11871 DUNLAY LANE, BATON ROUGE, LA, 70809",MECHANICAL MAGNETIC SEALS,-9.54,-87.408
"ROBCO SALES, INC.","1200 WEST SIERRA LANE, THIENSVILLE, WI, 53092","AUTOMOTIVE EXHAUST SEALS, GASKETS & MAGNETIC COMPONENTS",3.464,-85.957
"TRI-COMP, INC.","230 WEST PARKWAY, POMPTON PLAINS, NJ, 07444",PLASTIC & MAGNETIC GASKETS,2.777,-76.278
"BOEHM, INC.","2050 HARDY PARKWAY STREET, GROVE CITY, OH, 43123","RUBBER STAMPS, LABELS, BARCODE PRINTERS, SCREEN PRINTED DECALS, MAGNETS, SIGNS & COMMERCIAL & OFFSET PRINTING",0.584,-82.167
"INGERSOLL-RAND CO., VONDUPRIN DIV.","2720 TOBEY DRIVE, INDIANAPOLIS, IN, 46219","PANIC EXIT DEVICES, INCLUDING ELECTROMAGNETIC LOCKS, ELECTRIC STRIKES, CARD READERS & KEYPAD-TYPE ACCESS CONTROL SYSTEMS",0.205,-84.288
TOPS PEN CO.,"5895 POWER INN ROAD, SACRAMENTO, CA, 95824","PENS, CALENDARS & MAGNETS",1.046,-109.397
KILLION CORP.,"1755 MIDWEST BOULEVARD, INDIANAPOLIS, IN, 46214","INK PENS, PENCILS & MAGNETS",0.165,-84.488
AKO SIGNS,"1625 OCONEE STREET, ATHENS, GA, 30605","INTERIOR & EXTERIOR SIGNS, VINYL LETTERING, T-SHIRT PRINTING & MAGNETICS",-5.357,-81.549
"SIGNS & SIGNS, INC.","109 PRYOR STREET, MAYFIELD, KY, 42066","VINYL LAMINATED SIGNS, INCLUDING REAL ESTATE, POLITICAL, YARD & BUSINESS, BANNERS, MAGNETICS, LICENSE PLATES & DOORS",-3.043,-85.918
"MCCORKLE SIGN CO., INC.","1214 AVONDALE DRIVE, DURHAM, NC, 27701",NEON & MAGNETIC COMMERCIAL SIGNS,-2.745,-78.496
"DECO-SIGN PRODUCTS, INC.","107 INDUSTRY LANE, FOREST HILL, MD, 21050","ALUMINUM ADVERTISING SIGNS & MAGNETIC DIE-CUT PRODUCTS, INCLUDING SCREEN PRINTING & SIGN FABRICATION",1.104,-77.404
"FERRIN SIGNS, INC.","945 26TH STREET, WEST PALM BEACH, FL, 33407","ELECTRIC, NEON, VINYL & MAGNETIC SIGNS",-11.932,-77.587
MRI DEVICES CORP.,"3545 SW 47TH AVENUE, GAINESVILLE, FL, 32608",MAGNETIC RESONANCE IMAGING RECEIVER COILS,-9.504,-80.077
INVIVO CORP.,"NORTH 27 WEST 23676 PAUL ROAD, PEWAUKEE, WI, 53072",MAGNETIC RESONANCE IMAGING EQUIPMENT,3.314,-86.149
GE HEALTHCARE,"3001 WEST RADIO DRIVE, FLORENCE, SC, 29501",MRI MAGNETS,-4.656,-78.872
TARTAN ORTHOPEDICS LTD.,"10651 IRMA DRIVE, NORTHGLENN, CO, 80233","ORTHOPEDIC & MAGNETIC SUPPORTS, ABDOMINAL BINDERS, ACROMIOVLAVICULAR SPLINTS, ANKLE WRAPS, CERVICAL COLLARS, RIB BELTS",0.205,-97.893
"ESSEX GROUP, INC.","1601 WALL STREET, FORT WAYNE, IN, 46802","CORPORATE HEADQUARTERS & MAGNETIC WIRE, CABLE & INSULATION PRODUCTS",1.534,-83.818
"GSR MAGNETITE, INC.","8405 AIRLINE HIGHWAY, BATON ROUGE, LA, 70815",MAGNETIC WINDOW INSULATORS,-9.466,-87.455
"COUNTIS INDUSTRIES, INC.","2670 LOCKHEED WAY, CARSON CITY, NV, 89706","GARNET, SPINEL & HEXAGONAL FERRITE, DIELECTRIC & MAGNET MICROWAVE COMPONENTS MATERIALS FOR SPACE & DEFENSE FIELDS",1.361,-108.136
TDK FERRITES CORP.,"5900 NORTH HARRISON STREET, SHAWNEE, OK, 74804",PERMANENT CERAMIC MAGNETS & FERRITE CORES,-4.604,-92.207
ARNOLD MAGNETIC TECHNOLOGIES,"1000 EAST EISENHOWER AVENUE, NORFOLK, NE, 68701",FLEXIBLE BONDED MAGNETS,2.069,-92.468
"DURA MAGNETICS, INC.","5500 SCHULTZ DRIVE, SYLVANIA, OH, 43560",MAGNETS,2.307,-82.864
"THOMAS & SKINNER, INC.","1120 EAST 23RD STREET, INDIANAPOLIS, IN, 46205",CORPORATE HEADQUARTERS & CAST & SINTERED PERMANENT MAGNETS & TRANSFORMER LAMINATIONS,0.188,-84.374
"FLEXMAG INDUSTRIES, INC.","107 INDUSTRY ROAD, MARIETTA, OH, 45750",FLEXIBLE PERMANENT MAGNETS,0.281,-80.942
"FERRONICS, INC.","45 OCONNOR ROAD, FAIRPORT, NY, 14450",CERAMIC MAGNETIC MATERIALS & COMPONENTS,4.379,-78.843
ARNOLD MAGNETIC TECHNOLOGIES,"770 LINDEN AVENUE, ROCHESTER, NY, 14625","COMPANY HEADQUARTERS & MAGNETS & PRECISION MAGNETIC ASSEMBLIES & POWDER CORES, INCLUDING ENGINEERING SERVICES",4.388,-78.877
"NATIONAL MAGNETICS GROUP, INC.","1210 WIN DRIVE, BETHLEHEM, PA, 18017","SOFT & MICROWAVE FERRITES, PERMANENT MAGNETS, POWDERED IRON PRODUCTS, DIELECTRIC RESONATORS & ADVANCED CERAMIC MATERIALS",2.273,-76.913
PLASTI-CARD CORP.,"1820 NE 150TH STREET, NORTH MIAMI, FL, 33181",PLASTIC CARDS & MAGNETS,-12.747,-77.501
IDENTITY PLUS,"1120-B HOOVER AVENUE, NATIONAL CITY, CA, 91950","THREE-DIMENSIONAL MOLDED PVC & NON-PVC LABELS, KEYCHAINS, MAGNETS & STICKERS",-5.034,-107.872
MAGNETIC TICKET & LABEL CORP.,"8719 DIPLOMACY ROW, DALLAS, TX, 75247",CORPORATE HEADQUARTERS & PRESSURE-SENSITIVE LABELS & MAGNETIC TICKETS,-7.18,-92.238
"FINN GRAPHICS, INC.","220 STILLE DRIVE, CINCINNATI, OH, 45233","PRESSURE-SENSITIVE DECALS, LABELS, FLAT PLASTICS, INDUSTRIAL MARKINGS, CONSECUTIVE NUMBERING & MAGNETS",-0.391,-83.214
"FESTIVALS & MORE, INC.","200 WESTGATE DRIVE, HOUSTON, MN, 55943","ACRYLIC KEY TAGS, BUTTONS, RIBBONS, FLEXIBLE MAGNETS & SIGNS",3.852,-88.491
STAMCO TECHNOLOGY GROUP,"4020 NORTH TRIPP AVENUE, CHICAGO, IL, 60641","OFFICE MACHINE SUPPLIES, MAGNETIC PRODUCTS, RIBBON CARTRIDGES, COMPUTER SUPPLIES & FURNITURE",2.227,-85.716
"EDC BIOSYSTEMS, INC.","1804 MCCARTHY BOULEVARD, MILPITAS, CA, 95035",ACOUSTIC LIQUID DISPENSING EQUIPMENT FOR THE MAGNETIC DISC RECORDING & SEMICONDUCTOR INDUSTRIES,0.146,-110.013
"PRECISION MOLDING, INC.","5500 ROBERTS MATTHEWS HIGHWAY, SPARTA, TN, 38583","PLASTIC INJECTION, MAGNET & BLOW MOLDING",-3.508,-83.482
"KURZ-KASCH, INC.","2271 ARBOR BOULEVARD, DAYTON, OH, 45439",CORPORATE HEADQUARTERS & PLASTIC MOLDING & ELECTROMAGNETIC PRODUCTS,0.273,-82.989
BELTSVILLE PLASTIC PRODUCTS,"12336 CONWAY ROAD, BELTSVILLE, MD, 20705","FLEXIBLE VINYL PRODUCTS, INCLUDING PLAIN BACK, ADHESIVE BACK & MAGNETIC BACK",0.523,-77.653
